TCM_name;TCM_name_en;Herb_pinyin_name;Herb_latin_name;Properties;Meridian_1;Meridian_2;Meridian_3;Meridian_4;Meridian_5;Meridian_6;UsePart;Function;Indication;Toxicity;Clinical_manifestations;Therapeutic_en_class;Therapeutic_cn_class
"银耳蕨;通经草";Silvery Aleuritopteris;TONG JING CAO;Aleuritopteris argentea;;;;;;;;whole herb;To regulate menstruation, suppress cough, dispel damp.;Cough, menstrual disorder, red and white vaginal discharge.;;;;
"元白;圆柏";Chinese Juniper;YUAN BAI;Sabina chinensis;;;;;;;;leaf;To dispel wind and dissipate cold, quicken blood and resolve toxin.;Wind-cold common cold, pain in joints due to rheumatalgia, urticaria, swelling toxin of flat abscess, urinary tract infection.;;;;
小花酸藤子;Smallflower Embelia;XIAO HUA SUAN TENG ZI;Embelia parviflora;;;;;;;;root or vine;To supplement blood, quicken blood, strengthen lumbus and knees.;Blood vaculty, menstrual disorder, amenorrhea, postpartum vacuity weakness, aching in lumbus and legs, fracture due to knocks and falls.;;;;
油茶根皮;Oiltea Camellia Root-bark;YOU CHA GEN PI;Camellia oleifera;;;;;;;;root cortex;To dissipate stasis and disperse swelling, quicken blood and joint bones.;Fracture, sprain and contusion, abdominal pain, itchy skin, burns and scalds.;;;;
金钱蒲;Grassleaf Sweetflag;JIN QIAN PU;Acorus gramineus;;;;;;;;Rhizome;See Acorus tatarinowii .;See Acorus tatarinowii .;;;;
土鳖虫;"Cockroach;Eupolyphaga sinensis";TU BIE CHONG;Eupolyphaga seu Steleophaga;;;;;;;;"Eupolyphaga sinensis Walker.;Steleophaga plancyi Indications Edema";Treatment of bone fracture, amenorrhea and formation of mass in the abdomen due to blood stasis.;Treatment of bone fracture, amenorrhea and formation of mass in the abdomen due to blood stasis.;;;Blood activation and stasis removal;活血化淤
鲤鱼;Carp;LI YU;Cyprinus carpio;"Mild; Sweet";Spleen; Kidney;;;;;meat;To fortify spleen and harmonize stomach, disinhibit water and precipitate qi, free milk, quiet fetus.;Stomachache, diarrhea, water-damp fullness, inhibited urination, beriberi, jaundice, cough and qi counterflow, stirring fetus in pregnancy, edema in pregnancy, postpartum scant milk.;;;;
石菖蒲;"Grassleaf Sweetflag Rhizome;Grassleaved Sweetflag";SHI CHANG PU;Rhizoma Acori Talarinowii;"Warm; Pungent; Bitter";Stomach; Heart;;;;;Rhizome;To eliminate damp and phlegm, to improve appetite, and to restore consciousness and benefit the mentality.;Febrile diseases clouded spirit, phlegm reversal, amnesia, tinnitus, deafness, distending pain in stomach duct and abdomen, food-denying dysentery, wind-damp impediment pain, knocks and falls, scab and lichen with welling abscess and flat abscess.;;1. Small dose of its volatile oil exerts a sedative effect on experimental animals, which is synergetic with sodium pentobarbital.2. Promoting the secretion of digestive juice, inhibiting the abnormal fermentation in the gastrointestinal tract, and relaxi;"Resuscitative Stimulant; Resuscitative Medicinal";开窍药
"翼梗五味子;一耕五味子";Henry Magnoliavine;YI GENG WU WEI ZI;Schisandra henryi;;;;;;;;rattan and root;To dispel wind and eliminate damp, move qi and relieve pain, quicken blood and relieve pain.;Wind-damp impediment pain, qi pain in heart and stomach, taxation damage and blood ejection, amenorrhea, menstrual disorder, knocks and falls, swelling toxin of incised wound.;;;;
香茶菜;"Common Rabdosia;Nummulite Rabdosia;West-Shiko Rabdosia;Reniform Rabdosia";"XIANG CHA CAI;YUAN BAN XIANG CHA CAI;XI SI GUO XIANG CHA CAI;SHEN XING XIANG CHA CAI";"Isodon amethystoides;Plectranthus nummularius;Isodon shikokiana var. occidentalis;Isodon latifolia var. reniformis";;;;;;;;aerial parts or root;"Aerial parts: To clear heat and disinhibit damp, quicken blood and dissipate stasis, resolve toxin and disperse swelling; Root: To clear heat and resolve toxin, dispel stasis and relieve pain.";"Aerial parts: Damp-heat jaundice, strangury, edema, swelling pain in throat, impediment pain in joints, menstrual block, mammary welling abscess, hemorrhoids, effusion of back, knocks and falls, poisonous snake bite; Root: Poisonous snake bites, swelling toxin of sore and boil, aching sinews and bones, knocks and falls, burns and scalds.";;;;
骆驼蓬;Common Peganum;LUO TUO PENG;Peganum harmala;;;;;;;;whole herb;To diffuse lung qi, dispel wind-damp, disperse swelling toxin.;Cough and shortness of breath, wind-damp impediment pain, itchy skin, innominate toxin swelling.;;;;
"野烟叶;液盐也";Mullein Nightbrier Leaf;YE YAN YE;Solanum verbascifolium;;;;;;;;leaf;To move qi- blood, disperse swelling toxin, relieve pain.;Yellow swelling, pain wind, flooding, painful swelling from knocks and falls, toothache, scrofula, welling abscess, eczema, dermatitis.;;;;
"廷胡索;廷胡;玄胡;元胡;元胡索;玄胡素";root of corydalis;"TING HU SUO;TING HU;XUAN HU;YUAN HU;YUAN HU SUO;XUAN HU SU";Rhizoma Corydalis;"Warm; Pungent; Bitter;Pungent; Slightly Bitter";Spleen; Stomach; Liver; Heart;;;Corydalis turtschaninovii Bess. F. yanhusuo Y.H. Chou et C.C. Hsu.;For stagnation of vital energy or blood stasis resulting in headache, chest pain, hypochondriac pain, epigastric pain, abdominal pain, backache, arthralgia, dysmenorrhea or trauma. Recently, alos used for angina pectoris, peptic ulcer and neuralgia.;1. Its components d-corydaline and d1-tetrahydropalmatine are analgesics.2. Decreasing the secretion of gastric juice and the amount of pepsin.;;1. Its components d-corydaline and d1-tetrahydropalmatine are analgesics.2. Decreasing the secretion of gastric juice and the amount of pepsin.;;
黄芪胶;Baillon Veratrilla;HUANG QIN JIAO;Veratrilla baillonii;;;;;;;;root;To clear heat and resolve toxin, kill worms, quicken network vessels and relieve pain.;Lung heat cough, tonsillitis, gastritis, dysentery, chronic cholecystitis, nephritis, mastitis, ascariasis, burns, knocks and falls, swelling toxin of welling abscess and sore.;;;;
蒺藜根;Puncturevine Caltrap Root;JI LI GEN;Tribulus terrestris;;;;;;;;root;To secure teeth.;Toothache.;;;;
假百合;Hyacinth Falselily;JIA BAI HE;Notholirion hyacinthinum [Syn. Notholirion bulbuliferum];;;;;;;;small bulb;To rectify qi and harmonize stomach, dispel wind and relieve cough.;Distending pain in stomach duct and abdomen, vomiting, wind-cold cough.;;;;
尾穗苋;Love-lies-bleeding;WEI SUI XIAN;Amaranthus caudatus;;;;;;;;root;To fortify spleen, disperse gan .;Fatigue hypodynamia due to spleen-stomach vacuity, reduced food intake, child gan accumulation.;;;;
草问荆;Meadaw Horsetail;CAO WEN JING;Equisetum pratense;;;;;;;;whole herb;To quicken blood, disinhibit urine, expel worms.;Atherosclerosis, pain of hot urine and inhibited urination, intestinal parasitic disease.;;;;
假马齿苋;Coastal Waterhyssop;JIA MA CHI XIAN;Bacopa monniera;;;;;;;;whole herb;To clear heat and cool blood, resolve toxin and disperse swelling.;Dysentery, red eyes with gall, swelling pain from hemorrhoids, elephantiasis.;;;;
吕宋荚蒾;Luzon Viburnum;LV SONG JIA MI;Viburnum luzonicum;;;;;;;;stem-leaf;To dispel wind and eliminate damp, quicken blood.;Wind-damp impediment pain, knocks and falls.;;;;
城口十大功劳;Chengkou Mahonia;CHENG KOU SHI DA GONG LAO;Mahonia shenii;;;;;;;;root and stem;To clear heat, dry damp, resolve toxin.;Damp-heat dysentery, diarrhea, jaundice (icterus, ICT), red eyes with gall, burns and scalds.;;;;
白香草木樨;White Sweetclover;BAI XIANG CAO MU XI;Melilotus albus;;;;;;;;whole herb;To clear heat and resolve toxin, harmonize stomach and transform damp.;Summerheat-heat and oppression in chest, headache, bad breath, malaria, dysentery, strangury, skin sores.;;;;
"火麻仁;麻子仁";"Hemp Seed;Cannabis sativa;Hemp  FimbIe Seed";"HUO MA REN;MA ZI REN";"Semen Canbis;Fructus Canbis;Fructus cannabis";"Mild; Sweet";Spleen; Large Intestine; Stomach;;;;"ripe seed;Cannabis sativa Linne";"To cause Taxation.;Purging by moisterizing";Blood and liquid depletion, intestinal dry and constipation.;;1. Laxative. Stimulating the intestinal mucosa, increasing secretion, decreasing water absorption and accelerating intestinal peristalsis.2. Lowering the blood pressure in anesthetized cats and normal rats. Hypotensive for patients with hypertension after;"Laxatives;Purging";"润下药;泻下"
角叉菜;;JIAO CHA CAI;Chondrus ocelladus;;;;;;;;frond;To clear heat and resolve toxin, harmonize stomach and free stool.;Common cold with fever and chills, mumps, swelling pain in throat, knocks and falls, pain in stomach duct, intestinal dry and constipation.;;;;
毛杨梅;Hairy Bayberry;MAO YANG MEI;Myrica esculent;;;;;;;;bark;To astringe intestines and check diarrhea, stanch bleeding, relieve pain.;Diarrhea, dysentery, flooding and spotting, stomachache.;;;;
药鼠李;Common Buckthorn;YAO SHU LI;Rhamnus cathartica;;;;;;;;ripe fruit;To moisten intestines and free stool.;Intestinal dry and constipation, habitual constipation.;;;;
当药;Chinese Swertia;DANG YAO;Swertia chinensis;;;;;;;;whole herb;To clear heat and resolve toxin, disinhibit damp and fortify stomach.;Medullitis, pharyngolaryngitis, tonsillitis, conjunctivitis, hepatitis, indigestion, dysentery, sore and welling abscess with scab and lichen, poisonous snake bites.;;;;
葶苈子;Lepidium seed, Descurainia seed;TING LI ZI;"Semen Lepiddi seu Descurainiae;Semen Lepidii;Semen Descurainiae";"Extreme Cold; Pungent; Bitter";Lung; Bladder;;;;;seed;To quench fire in the lung, to relieve dyspnea, and to cause diuresis.;Phlegm-drool and congesting lung, cough and asthma with abundant phlegm, distention fullness in chest and rib-side, edema in chest and abdomen, inhibited urination.;;1. Its alcoholic extract acts as cardioglycosides, I.e., enhances myocardial contractility, slows heart rate and decreases the conduction rate in experimental animals. 2. Diurectic.;Antitussive Antiasthmetics;止咳平喘药
伽玛舒;Hazel Sterculia;JIA MA SHU;Sterculia foetida;;;;;;;;bark;To joint sinews and bones, quicken blood and relieve pain.;Sinew and bone wound, painful swelling from knocks and falls.;;;;
落地生根;Air-plant;LUO DI SHENG GEN;Bryophyllum pinnatum;;;;;;;;root or whole herb;To cool blood and stanch bleeding, clear heat and resolve toxin.;Blood ejection, bleeding due to external injury, knocks and falls, swollen welling abscess and clove sores, mammary welling abscess, mammary rock, erysipelas, ulcer, scalds, stomachache, pain in joints, swelling pain in throat, lung heat cough.;;;;
千金子;Caper Euphorbia Seed;QIAN JIN ZI;Semen Euphorbiae;;;;;;;;ripe seed without seed coat;To cause drastic purgation for treating edema, and eliminate blood stasis for treating masses.;Edema, phlegm-rheum, accumulation and distention-fullness, urinary and fecal stoppage, amenorrhea due to blood stasis, intractable impediment, wart.;;1. Its purgative effect is as three times as castor oil.2. Its fresh preparation may inhibit the progress of acute lymphatic leukemia, acute and chronic granulocytic leukemia and acute monocytic leukemia.;Drastic Purgatives;通水药
垫状卷柏;Cushion-shaped Spikemoss;DIAN ZHUANG JUAN BAI;Selaginella pulvinata;;;;;;;;dried whole herb;See Selaginella tamariscina.;See Selaginella tamariscina.;;;;
降真香;Odorate Rosewood Equivalent plant: Dalbergia sissoo;JIANG ZHEN XIANG;Dalbergia odorifera;;;;;;;;heartwood;To quicken blood and dissipate stasis, stanch bleeding and settle pain, downbear qi , break foul.;Chest and rib-side pain, knocks and falls, bleeding due to external injury, bleeding due to external injury.;;;;
竹叶兰;Chinese Arundina;ZHU YE LAN;Arundina chinensis;;;;;;;;whole herb and rooty stem;To clear heat and resolve toxin, dispel wind and disinhibit damp, dissipate stasis and relieve pain.;Jaundice, heat strangury, edema, beriberi, mounting qi , wind-damp impediment pain, poisonous snake bite, swelling toxin of sore and welling abscess, knocks and falls.;;;;
大狼毒;Large Euphorbia Root;DA LANG DU;Euphorbia nematocypha;;;;;;;;root;To transform stasis and stanch bleeding, kill worms and relieve itch.;Bleeding due to external injury, painful swelling from knocks and falls, scrofula, scab and lichen.;;;;
鸭跖草;all-grass of Common Dayflower;YA ZHI CAO;Herba Commelie;;;;;;;;;1. Clear away heat and toxic materials. 2. Clear away heat and promote diuresis. ;Common cold, wind-heat common cold, influenza, noninfectious fever, ardent fever incessant, ascites, edema, hordeolum, swelling pain in throat, scant urine with edema, heat strangury with inhibited pain, swollen welling abscess and toxin of clove.;;Antipyretic. ;Fire Purging Drugs;清热泻火药
曼陀罗叶;Hindu Datura Leaf Equivalent plant: Datura innoxia;MAN TUO LUO YE;Datura metel;;;;;;;;leaf;To suppress cough and calm asthma, relieve pain and draw out pus.;Cough and asthma, impediment pain, beriberi, prolapse of rectum.;;;;
蚕豆;Broadbean;CAN DOU;Vicia faba;;;;;;;;seed;To fortify spleen and disinhibit water, resolve toxin and disperse swelling.;Diaphragm food, edema, sore toxin.;;;;
曲轴海金沙;Flexuose Climbing Fern;QU ZHOU HAI JIN SHA;Lygodium flexuosum;;;;;;;;whole herb;To soothe sinews and free network vessels, clear heat and disinhibit damp, stanch bleeding.;Wind-damp pain, numbness of limbs, knocks and falls, urinary tract infection, calculus of urinary system, edema, dysentery, swelling toxin of sore and welling abscess, infant mouth sore, fire eye, lichen, bleeding due to external injury.;;;;
颠茄;Common Atropa;DIAN QIE;Atropa belladonna;;;;;;;;whole herb;To resolve spasm and relieve pain, inhibit secretion.;Gastric ulcer, duodenal ulcer, colic of gastrointestinal tract, cholecystalgia, renal colic, vomiting nausea, night sweating, drooling.;;;;
扁豆;Niger Bean;BIAN DOU;Lablab niger;"Mild; Sweet";Spleen; Stomach;;;;;Dolichos lablab L.;1. Treatment of deficient spleen not transforming and transporting water manifested as lassitude, poor appetite, loose stool or diarrhea, or leukorrhea due to downward flowing of turbid dampness. Hyacinth bean (Biandou) is used with Ginseng (Renshen), White atractylodes (Baizhu) and Poria (Fuling) in the formula Shen Ling Baizhu San. 2. Treatment of disharmony of the spleen and stomach due to invasion from exogenous pathogenic summer-damp-heat manifested as vomiting and diarrhea. Hyacinth bean (Biandou) is used with Elsholtzia (Xiangru) and Magnolia bark (Houpo) in the formula Xiangru San.;Containing phytoagglutintin, trypsin and amylase inhibitors.;;Containing phytoagglutintin, trypsin and amylase inhibitors.;For tonifying weakness;补虚
石椒草;Sessile-fruit Chinaure;SHI JIAO CAO;Boenninghausenia sessilicarpa;;;;;;;;whole herb;To course wind and resolve exterior, clear heat and resolve toxin, move qi and quicken blood.;Common cold, tonsillitis, bronchitis, pneumonia, nephropyelitis, stomachache and abdominal distention, thromboangiitis obliterans, lumbago, knocks and falls.;;;;
唐古特大黄;Tangut Rhubarb;TANG GU TE DA HUANG;Rheum tanguticum;;;;;;;;root and rhizome;See Rheum officinale.;See Rheum officinale.;;;;
小婆婆纳;Thymeleaf Speedwell;XIAO PO PO NA;Veronica serpyllifolia;;;;;;;;whole herb;To quicken blood and dissipate stasis, stanch bleeding, resolve toxin.;Knocks and falls, menstrual disorder, bleeding due to external injury, mouth sore, burns and scalds.;;;;
炉甘石;Calamine;LU GAN SHI;Calamina;"Mild; Sweet";Stomach; Liver;;;;;;Treatment of inflammation of the eye, tarsitis, pterygium, corneals opacity, skin ulceration with purulent discharge or exudation, pruritus.;Treatment of inflammation of the eye, tarsitis, pterygium, corneals opacity, skin ulceration with purulent discharge or exudation, pruritus.;;;For eliminating toxic materials, dissolving rottenness and growing new muscles;拔毒化腐生肌
红皮云杉;Korean Spruce;HONG PI YUN SHAN;Picea koraiensis;;;;;;;;Branch-leaf and bark;To expel wind and eliminate damp.;Wind-damp impediment pain.;;;;
南轮环藤;Tonkin Cyclea;NAN LUN HUAN TENG;Cyclea tonkinensis;;;;;;;;root;To clear heat and resolve toxin, quicken blood and relieve pain.;Throat pain and swollen tongue, wind-damp impediment pain, pain in stomach duct and abdomen, amenorrhea and dysmenorrhea.;;;;
鹤虱;Common Carpesium Fruit;HE SHI;Fructus Carpesii;"Bitter;  pungent;  neutral";Spleen; stomach;;;;;;To kill parasites;Treatment of ascarisis, oxyuriais, taeniasis, abdominal pain or infantile malnutrition due to intestinal parasitosis.;slightly toxic;;Antiparasitic Drugs;驱虫药
天名精果;Common Carpesium Fruit;TIAN MING JING GUO;Carpesium abrotanoides;;;;;;;;fruit;To kill worms.;Ascariasis, oxyuria disease, ancylostomiasis, taeniasis, child gan accumulation.;;;;
雀梅藤;Hedge Sageretia;QUE MEI TENG;Sageretia theezans [Syn. Sageretia thea ];;;;;;;;root;To downbear qi and transform phlegm, dispel wind and disinhibit damp.;Cough, asthma, stomachache, crane’s knee wind, edema.;;;;
金椰子;Yunnan Craibiodendron;JIN YE ZI;Craibiodendron yunnanese;;;;;;;;leaf;To dispel wind and quicken blood, free network vessels and relieve pain.;Impediment pain, hemiplegia, knocks and falls.;;;;
苦参;Chinese Dregea;KU SHENG;Dregea sinensis;;;;;;;;whole herb;To dispel wind and eliminate damp, relieve cough and transform phlegm, quicken blood and resolve toxin.;Wind-damp impediment pain, cough of phlegm asthma, fracture due to knocks and falls, swollen sore of welling abscess and boil, galactostasis.;;;;
骆驼蓬子;Common Peganum Seed;LUO TUO PENG ZI;Peganum harmala;;;;;;;;seed;To relieve cough and calm asthma, dispel wind-damp, resolve depression.;Cough and asthma, inhibited urination, numbness in limbs, aching pain in joints.;;;;
万年青根;Omoto Nipponlily Root;WAN NIAN QING GEN;Rohdea japonica [Syn. Orontium japonicum];;;;;;;;root, rhizome and eaf;To clear heat and resolve toxin, strengthen heart and disinhibit urine, cool blood and stanch bleeding.;Cardiac failure, swelling pain in throat, diphtheria, edema, ascites, hemoptysis, blood ejection, clove sore, erysipelas, snake bite, scalds, arrhythmia, dysentery.;;;;
NA;Chinese Juniper Leaf;HUI(4) YE;Sobina chinensis;;;;;;;;leaf;To expel wind and dissipate cold, quicken blood and resolve toxin.;Wind-cold common cold,pain in joints due to rheumatalgia, urticaria, toxin swelling.;;;;
水流豆;Poongaoil Pongamia;SHUI LIU DOU;Pongamia pinnata;;;;;;;;seed;To dispel wind and eliminate damp, resolve toxin and kill worms.;Scab and lai , lichen, suppurative sore.;;;;
无距耧斗菜;Spurless Columbine;WU JU LOU DOU CAI;Aquilegia ecalcarata;;;;;;;;whole herb with root;To resolve exterior and abate fever, draw out toxin and engender flesh.;Common cold with headache, putrefying sore, yellow-water sore.;;;;
伸筋草;Common Clubmoss Herb;SHEN JIN CAO;Herba Lycopodii;"Warm; Pungent; Bitter";Liver;;;;;;;To relieve rheumatic conditions and muscular contracture.;Wind-cold-damp impediment, aching pain in joints, arthritis, dysmenorrhea, skin numbness, weakness in limbs, jaundice, cough, knocks and falls, sores, zoster, scalds.;;;Wind-Dampnessdispelling And Colddispersing Medicinal;祛风湿散寒药
猪鬃草;Southern Maidenhair;ZHU ZONG CAO;Adiantum capillus- veneris;;;;;;;;whole herb;To clear heat and resolve toxin, disinhibit water and free strangury.;Common cold with fever, lung heat cough, damp-heat diarrhea, dysentery, strangury-turbidity, vaginal discharge, mammary welling abscess, scrofula, poisonous snake bite.;;;;
宁夏枸杞根皮;Barbary Wolfberry Root-bark;NING XIA GOU QI GEN PI;Lycium barbarum;;;;;;;;root cortex;See Lycium chinense.;See Lycium chinense.;;;;
盐津菜;Tibet Berneuxine;YAN JIN CAI;Berneuxia thibetica;;;;;;;;whole herb;To dispel wind and dissipate cold, relieve cough and calm asthma, quicken blood and free network vessels.;Wind-cold common cold, asthma, cough, knocks and falls.;;;;
牧地香豌豆;Meadow Peavine;MU DI XIANG WAN DOU;Lathyrus pratensis;;;;;;;;whole herb;To dispel phlegm and relieve cough.;Bronchitis, pneumonia, pulmonary welling abscess, tuberculosis, scab and lichen, sore and boil.;;;;
海棠果;Kalofilum;HAI TANG GUO;Calophyllum inophyllum;;;;;;;;root and leaf;To dispel stasis and relieve pain.;Wind-damp pain, knocks and falls, dysmenorrhea, bleeding due to external injury.;;;;
蓖麻油;Castorbean Oil;BI MA YOU;Ricinus communis;;;;;;;;oil expressed from seeds;To lubricate intestines, moisten skin.;Dry stool, sore and scab, burns.;;;;
大一枝箭;Golden Lycoris;DA YI ZHI JIAN;Lycoris aurea;;;;;;;;bulb;To moisten lung and relieve cough, resolve toxin and disperse swelling.;Lung heat cough, hemoptysis, yin vacuity consumption fever, inhibited urination, swelling toxin of welling abscess and sore, clove sore tubercle, burns and scalds.;;;;
粉团花;Paniculate Hydrangea;FEN TUAN HUA;Hydrangea paniculata;;;;;;;;flower;To disperse damp, break blood.;Scrotal wind.;;;;
澳大利亚桑;Japanese Mulberry;AO DA LI YA SANG;Morus australis;;;;;;;;leaf;See Morus alba.;See Morus alba.;;;;
白刺花;Vetchleaf Sophora;BAI CI HUA;Sophora viciifolia;;;;;;;;root;To clear heat and disinhibit throat, cool blood and disperse swelling.;Swelling pain in throat, cough, hepatitis, dysentery, strangury syndrome, edema, hematuria, nosebleed(epistaxis), hematochezia.;;;;
蝙蝠葛根;Asiatic Moonseed Root;BIAN FU GE GEN;Menispermum dauricum;"Cool; Pungent; Sweet";Spleen; Stomach;;;;;rhizome;To clear heat and resolve toxin, disperse swelling and relieve pain, disinhibit damp.;Swelling pain in throat, lung heat cough, epidemic parotitis, diarrhea, jaundice, wind-damp impediment pain, swelling pain from hemorrhoids, snake or insect bites.;;;Heat clearence;清热
茶花;Tea Flower;CHA HUA;Camellia sinensis [Syn. Thea sinensis ];;;;;;;;flower;To clear lung and calm liver.;Gan of nose, hypertension.;;;;
瓣蕊唐松草;Petalformed Meadowrue;BAN RUI TANG SONG CAO;Thalictrum petaloideum;;;;;;;;root and rhizome;To clear heat, dry damp, resolve toxin.;Damp-heat diarrhea dysentery, jaundice, lung heat cough, red eyes with gall, swelling welling abscess and sore and boil, exudative dermatitis;;;;
菊花;Chrysanthemum Flower;JU HUA;Flos Chrysanthemi;"Minor cold; Pungent; Sweet; Bitter";Lung; Liver;;;;;capitulum;To dispel wind-heat, to subdue hyperactivity of the liver, and improve eyesight.;Angina pectoris, hypertension, externally contracted wind-heat, wind warmth, fever and headache, dizziness, common cold, red eyes, red eyes with gall, swelling toxin of clove sore.;;1. Dilating coronary artery and increasing coronary flow in rabbits in vitro. 2. Sedative and antipyretic. ;Pungent Cool Diaphoretics;辛凉解表药
白薇;Blackend Swallowwort Root;BAI WEI;Radix cynchi atrati;"Cold; Bitter; Salty";Stomach; Liver;;;;;root;To remove heat from blood, to relieve dysuria, and to counteract toxicity and cure sores.;See Tylophora ovata .;;An active component contained in its root, cynanchol, can lower fever and promote diuresis.;Asthenic Heat Dispelling Drugs;清虚热药
台湾千金藤;Sasak Stephania;TAI WAN QIAN JIN TENG;Stephania sasakii;;;;;;;;rhizome;To settle pain, promote vomiting.;Tuberculosis, bronchitis, pertussis, chronic sores, poisonous snake bite, malaria.;;;;
海带;Ellgrass;HAI DAI;Zostera marina;;;;;;;;whole herb;To clear heat and resolve phlegm, soften hardness and dissipate binds, disinhibit water.;Goiter and tuberculosis, mounting-conglomeration, edema, beriberi.;;;;
一枝蒿;Alpine Yarrow;YI ZHI HAO;Achillea alpina [Syn. Achillea sibirica ];;;;;;;;herb;To dispel wind and relieve pain, quicken blood, resolve toxin.;Bleeding of digestive tract, bleeding from hemorrhoids, acute enteritis, infection from wounds, gastrointestinal ulcer, common cold with fever, head wind headache, toothache, wind-damp impediment pain, abdominal pain, amenorrhea due to blood stasis, abdominal lump glomus, knocks and falls, swelling toxin of welling abscess and sore, snake bite.;;;;
云南山楂;Yunnan Hawthorn;YUN NAN SHAN ZHA;Crataegus scabrifolia;;;;;;;;fruit;See Crataegus cuneata.;See Crataegus cuneata.;;;;
浮叶眼子菜;Floatingleaf Pondweed;FU YE YAN ZI CAI;Potamogeton natans;;;;;;;;whole herb;To clear heat and resolve toxin, dispel damp and disinhibit water.;Red eyes with gall, swelling toxin of sore and welling abscess, jaundice, edema, bleeding from hemorrhoids, ascariasis.;;;;
毛叶藜芦;Largeflower Falsehellebore;MAO YE LI LU;Veratrum grandiflorum;;;;;;;;root and rhizome;See Veratrum nigrum.;See Veratrum nigrum.;;;;
小花盾叶薯蓣;Smallflower Yam;XIAO HUA DUN YE SHU YU;Dioscorea parviflora;;;;;;;;rhizome;To clear heat and resolve toxin, quicken blood and disperse swelling.;Swelling toxin of welling abscess and boil, soft tissue sprain, bee sting, insect bites.;;;;
双叶细辛;Caulescent Wildginger Equivalent plant: Asarum fukienense;SHUANG YE XI XIN;Asarum caulescens;;;;;;;;whole herb;To dispel wind and dissipate cold, relieve pain, warm lung and transform rheum.;Wind-cold common cold, headache, toothache, wind-damp impediment pain, phlegm-rheum cough asthma.;;;;
罗勒;Basil;LUO LE;Ocimum basilicum;;;;;;;;whole herb;To course wind and resolve exterior, transform damp and harmonize center, move qi and quicken blood, resolve toxin and disperse swelling.;Common cold with headache, fever and cough, summerheat stroke, non-digestion of food accumulation, no thought of food and drink, distention fullness and pain in stomach duct and abdomen, vomiting and diarrhea, wind-damp impediment pain, emission, menstrual disorder, toothache, bad breath, damp-sore of skin, dormant papules with pruritus, knocks and falls, snake or insect bites.;;;;
野花椒根;Flatspine Pricklyash Root;YE HUA JIAO GEN;Zanthoxylum simulans;;;;;;;;root cortex. or stem cortex;To dispel wind and eliminate damp, dissipate cold and relieve pain, resolve toxin.;wind-cold-damp impediment, sinew and bone numbness, cold pain in stomach duct and abdomen, vomiting and diarrhea, toothache, skin sores, poisonous snake bites.;;;;
金鸡尾巴草根;Needle-hear Fern;JIN JI WEI BA CAO GEN;Macrothelypteris oligophlebia;;;;;;;;rhizome;To disinhibit water and disperse edema, clear heat and resolve toxin, stanch bleeding and kill worms.;Edema, sore and boil, burns and scalds, bleeding due to external injury, ascariasis.;;;;
珍珠露水草;Spiderweb Blueeargrass, Pearl Cyanotis;ZHEN ZHU LU SHUI CAO;Cyanotis arachnoidea [Syn. Cyanotis bodinieri ];;;;;;;;root;To free network vessels and relieve pain, disinhibit damp and disperse swelling.;Wind-damp impediment pain, pain in lumbus and legs, numbness in limbs, edema, eczema.;;;;
旋果蚊子草;Queen-of-the-Meadows;XUAN GUO WEN ZI CAO;Filipendula ulmaria;;;;;;;;root and flower;To calm liver and lower blood pressure, eliminate putridity and close sores.;Hypertension, sores with pus blood.;;;;
响叶杨;Chinese Aspen;XIANG YE YANG;Populus adenopoda;;;;;;;;root cortex, bark or leaf;To dispel wind and relieve pain, quicken blood and free network vessels.;Wind-damp impediment pain, paralysis in limbs, decayed toothache, static blood pain due to injury.;;;;
莲子草;Alligator Alternanthera Herb;LIAN ZI CAO;Herba Alternantherae;;;;;;;;Alterrianthera philoxeroides (Mart.) Griseb.;Its injection inhibits the growth of Asia influenza A virus, encephalitis B virus and rabies virus in vitro.;Its injection inhibits the growth of Asia influenza A virus, encephalitis B virus and rabies virus in vitro. ;;;;
空心莲子草;Alligator Alternanthera Herb;KONG XIN LIAN ZI CAO;Herba Alternantherae;;;;;;;;Alternanthera philoxeroides (Mart.) Griseb.;To clear heat and toxic materials, promote diuresis. For heat-syndrome, intense heat-syndrome and dampness-heat syndrome. Recently, for preventing and treating encephalitis B, epidemic ho\emorrhagic fever, viral hepatitis, eyedrops for epidemic conjunctivitis and viral keratitis, local application for herpes zoster. Also for furuncle, snake bite, stranguria with turbid urine, etc.;To clear heat and toxic materials, promote diuresis. For heat-syndrome, intense heat-syndrome and dampness-heat syndrome. Recently, for preventing and treating encephalitis B, epidemic ho\emorrhagic fever, viral hepatitis, eyedrops for epidemic conjunctiv;;;;
千年健;rhizome of Obscured Homalome;QIAN NIAN JIAN;Rhizoma Homalomee occultae;"Warm; Pungent; Bitter";Liver; Kidney;;;;;;To relieve rheumatic conditions and stregnthen the tendons and bones.;Treament of rheumatoid arthritis with pain and cold sensation in the loins and knees, muscular contracture and numbness of the lower extremities.;;;Wind-Damp-Dispelling And Sinew-Bone-Strengthening Medicinal;祛风湿筋骨药
土砂仁;Japanese Galangal;TU SHA REN;Alpinia japonica;;;;;;;;fruit or seed;To move qi, regulate center, fortify stomach.;Glomus, abdominal distention and pain, vomiting, diarrhea.;;;;
